event,time,magnitude,e_magnitude,band
SN2020oi,56875.73042,17.94,0.0,G
SN2020oi,56964.50953,18.16,0.0,G
SN2020oi,56964.75971,18.22,0.0,G
SN2020oi,56965.0099,18.24,0.0,G
SN2020oi,56965.26007,18.29,0.0,G
SN2020oi,56965.43624,18.2,0.0,G
SN2020oi,56969.43902,18.17,0.0,G
SN2020oi,56969.68919,18.13,0.0,G
SN2020oi,56969.93938,17.87,0.0,G
SN2020oi,56970.26358,18.14,0.0,G
SN2020oi,57056.39997,17.98,0.0,G
SN2020oi,57056.47398,17.85,0.0,G
SN2020oi,57335.55338,18.01,0.0,G
SN2020oi,57335.80356,18.18,0.0,G
SN2020oi,57385.22006,18.24,0.0,G
SN2020oi,58276.68072,18.12,0.0,G
SN2020oi,58492.16531,18.1,0.0,G
SN2020oi,58611.33634,17.83,0.0,G
SN2020oi,58611.51249,18.0,0.0,G
SN2020oi,58611.76263,18.16,0.0,G
SN2020oi,58652.72811,18.19,0.0,G
SN2020oi,58694.62161,18.04,0.0,G
SN2020oi,58791.40851,18.15,0.0,G
SN2020oi,58791.58468,17.92,0.0,G
SN2020oi,58791.65868,18.25,0.0,G
SN2020oi,58798.59045,18.23,0.0,G
SN2020oi,58798.84064,17.98,0.0,G
SN2020oi,58798.91465,18.11,0.0,G
SN2020oi,58837.17652,17.86,0.0,G
SN2020oi,58873.24925,14.57,0.0,G
SN2020oi,58873.32326,14.59,0.0,G
SN2020oi,58881.2173,14.6304,0.0102438,B
SN2020oi,58881.2219,13.0213,0.00404088,V
SN2020oi,58881.2272,13.264,0.0023351,R
SN2020oi,58884.08286,15.56,0.0,G
SN2020oi,58884.25903,15.54,0.0,G
SN2020oi,58884.50921,15.64,0.0,G
SN2020oi,58970.08609,17.6,0.0,G
SN2020oi,58970.16009,17.58,0.0,G
SN2020oi,58970.33624,17.3,0.0,G
SN2020oi,58970.58639,17.31,0.0,G
SN2020oi,58970.66038,17.35,0.0,G
SN2020oi,58977.16462,17.45,0.0,G
SN2020oi,58977.34076,17.42,0.0,G
SN2020oi,58977.41477,17.54,0.0,G
SN2020oi,58977.59091,17.74,0.0,G
SN2020oi,59057.48862,17.88,0.0,G
SN2020oi,59057.56263,18.16,0.0,G
SN2020oi,59061.48772,18.0,0.0,G
SN2020oi,59336.00727,18.18,0.0,G
SN2020oi,59336.33142,17.82,0.0,G
SN2020oi,59384.22727,18.19,0.0,G
SN2020oi,59423.02747,18.05,0.0,G
SN2020oi,59434.45866,17.87,0.0,G
SN2020oi,59521.74578,17.89,0.0,G
SN2020oi,59529.07458,18.07,0.0,G
SN2020oi,59529.32477,18.02,0.0,G
