GRB/SN,File name,Datatypes,Sources
GRB130427A-SN2013cq,GRB130427A-SN2013cq_Optical1.txt,"Early,Late,NIR,Optical",https://ui.adsabs.harvard.edu/abs/2017ApJ...837..116B/abstract
GRB130427A-SN2013cq,GRB130427A-SN2013cq_Optical2.txt,"Early,Late,NIR,Optical",https://ui.adsabs.harvard.edu/abs/2017ApJ...837..116B/abstract
GRB130427A-SN2013cq,GRB130427A-SN2013cq_Xray1.html,"Late,Xray",https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.1111D/abstract
GRB130427A-SN2013cq,GRB130427A-SN2013cq_Optical3.txt,"Late,Optical",https://ui.adsabs.harvard.edu/abs/2014ApJ...792..115L/abstract
GRB130427A-SN2013cq,GRB130427A-SN2013cq_Optical4.txt,"Early,Optical,UV",https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract
GRB130427A-SN2013cq,GRB130427A-SN2013cq_Radio.txt,"Early,Late,Radio",https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract
GRB130427A-SN2013cq,GRB130427A-SN2013cq_SED.txt,SED,https://ui.adsabs.harvard.edu/abs/2014ApJ...781...37P/abstract
GRB130427A-SN2013cq,OpenSNPhotometry.csv,Optical,https://api.astrocats.space/2013cq/photometry/time+magnitude+e_magnitude+band+ra+dec+source?format=csv
GRB130427A-SN2013cq,OpenSNSpectra0.csv,Spectra,https://api.astrocats.space/2013cq/spectra/?item=0&format=json
